Time (days),Iodine-131 (Fraction Remaining),Caesium-134 (Fraction Remaining),Caesium-137 (Fraction Remaining)
0.0,1.0,1.0,1.0
505.06060606060606,9.890107073631167e-20,0.6190535665875281,0.9685347677907306
1010.1212121212121,9.781421792788926e-39,0.383227318304739,0.9380595964194444
1515.1818181818182,9.673930886303044e-58,0.2372382382103225,0.908543333391973
2020.2424242424242,9.567621228844612e-77,0.14686317749504174,0.8799558064346109
2525.3030303030305,9.462479839321849e-96,0.09091617382868278,0.852267792651251
3030.3636363636365,9.3584938792968e-115,0.05628198166913772,0.8254509886509979
3535.4242424242425,9.255650651416594e-134,0.03484156148689358,0.7994779816157231
4040.4848484848485,9.153937597863809e-153,0.021568792903940138,0.7743222212779864
4545.545454545455,9.053342298820473e-172,0.013352238174171896,0.7499579927806773
5050.606060606061,8.953852470957243e-191,0.008265750663647263,0.7263603903906357
5555.666666666667,8.855455965926289e-210,0.00511694242885406,0.7035052920393787
6060.727272727273,8.758140768883566e-229,0.0031676614606051543,0.6813693346649098
6565.787878787879,8.661894997019164e-248,0.0019609521249294793,0.659929890329403
7070.848484848485,8.566706898106844e-267,0.001213934406844986,0.6391650430883506
7575.909090909091,8.472564849069984e-286,0.0007514904241607046,0.6190535665875281
8080.969696969697,8.379457354558465e-305,0.0004652128273330584,0.5995749023648751
8586.030303030304,1e-323,0.0002879916599827974,0.5807091388351142
9091.09090909091,0.0,0.00017828226425981324,0.5624369909356224
9596.151515151516,0.0,0.00011036627154933766,0.5447397804127503
10101.212121212122,0.0,6.832263403358516e-05,0.5275994167284367
10606.272727272728,0.0,4.2295370277145284e-05,0.5109983785676013
11111.333333333334,0.0,2.618309982020689e-05,0.4949196959274116
11616.39393939394,0.0,1.6208741328016353e-05,0.4793469327701146
12121.454545454546,0.0,1.0034079129003179e-05,0.46426417022170186
12626.515151515152,0.0,6.211632472230901e-06,0.4496559902992322
13131.575757575758,0.0,3.84533323626544e-06,0.4355074601501779
13636.636363636364,0.0,2.38046725462768e-06,0.42180411678768337
14141.69696969697,0.0,1.473636744122088e-06,0.4085319523061331
14646.757575757576,0.0,9.122600823032134e-07,0.3956773995619145
15151.818181818182,0.0,5.647378576052356e-07,0.383227318304739
15656.878787878788,0.0,3.4960298493752034e-07,0.3711689817453448
16161.939393939394,0.0,2.16422974715218e-07,0.35949006354584945
16667.0,0.0,1.3397741438893797e-07,0.34817862521945425
17172.060606060608,0.0,8.293919621964718e-08,0.3372231039266199
17677.121212121212,0.0,5.1343805229675366e-08,0.3266123006552383
18182.18181818182,0.0,3.178456574960588e-08,0.3163353687727174
18687.242424242424,0.0,1.9676348789729357e-08,0.306381802938279
19192.303030303032,0.0,1.218071389570214e-08,0.2967414283641315
19697.363636363636,0.0,7.540514380716665e-09,0.28740439041454374
20202.424242424244,0.0,4.6679823212872095e-09,0.2783611445321866
20707.484848484848,0.0,2.8897311047603728e-09,0.2696024464814434
21212.545454545456,0.0,1.7888983468808247e-09,0.2611193428987176
21717.60606060606,0.0,1.1074239018991104e-09,0.25290316214007763
22222.666666666668,0.0,6.85554716194918e-10,0.24494550541688156
22727.727272727272,0.0,4.2439509215136566e-10,0.23723823821032256
23232.78787878788,0.0,2.627232954385453e-10,0.22977348195611674
23737.848484848484,0.0,1.6263979306686075e-10,0.2225436059908352
24242.909090909092,0.0,1.0068274396709721e-10,0.21554121975164534
24747.969696969696,0.0,6.232801174665061e-11,0.20875916522149068
25253.030303030304,0.0,3.858437797007337e-11,0.2021905096119832
25758.090909090908,0.0,2.3885796796935145e-11,0.19582853827653168
26263.151515151516,0.0,1.478658769792764e-11,0.1896667478464588
26768.21212121212,0.0,9.153689852061397e-12,0.18369883958309302
27273.272727272728,0.0,5.6666243503546444e-12,0.17791871293903763
27778.333333333332,0.0,3.507944014598786e-12,0.1723204593220365
28283.39393939394,0.0,2.171605253626748e-12,0.16689835605506062
28788.454545454544,0.0,1.3443399774778554e-12,0.16164686052644284
29293.515151515152,0.0,8.322184577638657e-13,0.15656060452407894
29798.575757575756,0.0,5.151878044586908e-13,0.1516343887479052
30303.636363636364,0.0,3.189288478125514e-13,0.14686317749504174
30808.696969696968,0.0,1.9743404072601e-13,0.1422420935121691
31313.757575757576,0.0,1.2222224707722407e-13,0.1377664130098761
31818.81818181818,0.0,7.566211796949784e-14,0.13343156083388225
32323.878787878788,0.0,4.683890398458389e-14,0.12923310578819888
32828.93939393939,0.0,2.899579056670751e-14,0.1251667561054481
33334.0,0.0,1.7949947566345208e-14,0.12122835505970918
33839.06060606061,0.0,1.111197906100511e-14,0.11741387671740766
34344.121212121216,0.0,6.878910269561137e-15,0.1137194218219039
34849.181818181816,0.0,4.258413936607422e-15,0.11014121380757386
35354.242424242424,0.0,2.636186335462839e-15,0.10667559493930776
35859.30303030303,0.0,1.6319405531575749e-15,0.10331902257348045
36364.36363636364,0.0,1.0102586198910193e-15,0.10006806553657109
36869.42424242424,0.0,6.254042018193331e-16,0.09691940061773056
37374.48484848485,0.0,3.87158701695084e-16,0.09386980917171042
37879.545454545456,0.0,2.396719751197384e-16,0.09091617382868274
38384.606060606064,0.0,1.483697910089512e-16,0.08805547530758497
38889.666666666664,0.0,9.184884829793796e-17,0.0852847893297342
39394.72727272727,0.0,5.685935712579484e-17,0.08260128362955549
39899.78787878788,0.0,3.519898782259724e-17,0.08000221505936779
40404.84848484849,0.0,2.1790058951849926e-17,0.07748492678526887
40909.90909090909,0.0,1.3489213710295177e-17,0.07504684557125217
41414.969696969696,0.0,8.350545857819603e-18,0.07268547914877953
41920.030303030304,0.0,5.16943519623593e-18,0.07039841366912117
42425.09090909091,0.0,3.2001572954729476e-18,0.06818331123585805
42930.15151515151,0.0,1.981068787403624e-18,0.06603790751502492
43435.21212121212,0.0,1.2263876984974506e-18,0.0639600094204504
43940.27272727273,0.0,7.59199678773916e-19,0.06194749287192886
44445.333333333336,0.0,4.699852688970946e-19,0.05999830062393155
44950.393939393936,0.0,2.909460569543466e-19,0.058110440162638013
45455.454545454544,0.0,1.8011119424216616e-19,0.05628198166913775
45960.51515151515,0.0,1.114984771779519e-19,0.05451105604672048
46465.57575757576,0.0,6.902352996608917e-20,0.05279585301023791
46970.63636363636,0.0,4.272926240396888e-20,0.051134619235584336
47475.69696969697,0.0,2.6451702288831287e-20,0.0495256565674041
47980.757575757576,0.0,1.637502064421247e-20,0.0479673202831942
48485.818181818184,0.0,1.013701493274405e-20,0.04645801741202707
48990.87878787879,0.0,6.275355248666274e-21,0.04499620510617537
49495.93939393939,0.0,3.8847810482906175e-21,0.04358038906397364
50001.0,0.0,2.4048875633559404e-21,0.04220912200230542
